specimen,tissue,stage,EF1a,optix,dpp,spalt
NRT,NA,NA,1.567378234,1.607603344,1.789027809,1.711222714
45,forewing,4,7.081199339,2.611130655,4.78404612,3.526589282
63,forewing,4,7.539597329,2.463894913,5.194020793,3.494362744
66,forewing,4,7.184066095,2.809220075,4.681716282,3.538167272
67,forewing,4,6.382380097,2.094272328,3.973789609,2.783119951
212,forewing,5,6.723144524,2.155595489,4.247103241,2.7989256
216,forewing,5,3.886526512,1.889417003,2.316363746,2.609467754
217,forewing,5,6.980929051,2.314745676,4.549532032,2.892146495
218,forewing,5,6.318320299,1.568201109,3.676950322,1.883158597
45,hindwing,4,7.152070262,1.777541008,4.793327301,3.438180269
63,hindwing,4,7.406493245,2.981860356,5.0810706,3.588693365
66,hindwing,4,7.123327082,2.392075921,4.755890638,3.665136199
67,hindwing,4,6.965292653,2.06901009,4.577641175,2.825351807
212,hindwing,5,6.469656835,2.675256805,4.03297436,2.830675285
216,hindwing,5,6.465217606,1.906340386,3.776356069,2.875591414
217,hindwing,5,6.382669962,2.116574097,4.042612554,2.803645447
218,hindwing,5,5.083929148,1.41899515,2.429539235,1.715782925
